Unnamed: 0,DATE,PRODUCT_ID,SELLING_PRICE,COST_PRICE,COMPETITOR_PRICE,SALES,IS_PROMOTION,QUANTITY,CATEGORY,SUBCATEGORY,BRAND,PRODUCT_NAME,DAY_OF_WEEK,MONTH,SEASON,IS_HOLIDAY,IS_WEEKEND,Day_of_Week,Month,7_day_rolling_avg_quantity,1_day_lag_quantity,7_day_lag_quantity,Price_Above_Competitor,Price_Below_Competitor,Days_Since_Last_Promotion,Competitor_Price_Change,Selling_Price_Daily_Change,Profit_Margin,Projected Selling Price,Projected Sales
0,2024-08-01,1,383.5408181,197.9891332,405.2906802,133472.2047,0,171,Bakery,Bread,GoldenLoaf,GoldenLoaf Rich Pita,Friday,March,Spring,0,0,4,3,151.57142857142858,104.0,99.0,0,1,0.0,45.8023288,-1.8851232999999752,185.55168490000003,387.5734128261444,100899.65853417388
1,2024-08-01,2,43.50290097,30.55295528,40.45730065,105451.032,0,145,Bakery,Cakes,BakeHouse,BakeHouse Fresh Pound,Friday,March,Spring,0,0,4,3,214.1428571428572,245.0,129.0,1,0,0.0,-6.59650165,-1.970560920000004,12.94994569,45.900079925236575,88346.67005616569
2,2024-08-01,3,49.38138997,22.28269452,49.82021613,64442.71391,0,551,Beverages,Soft Drinks,QuenchWell,QuenchWell Sparkling Soda,Friday,March,Spring,0,0,4,3,493.57142857142856,531.0,351.0,0,1,0.0,-4.012474779999998,-1.2096351699999983,27.09869545,47.6229109494588,90178.2942868064
3,2024-08-01,4,186.1086961,157.1023086,189.5342327,388594.9576,0,894,Cleaning,Wipes,ShineGuard,ShineGuard Mega Pad,Friday,March,Spring,0,0,4,3,856.7142857142857,837.0,985.0,0,1,0.0,-8.097156800000022,5.063176499999997,29.006387500000017,183.604084128397,470072.37848307344
4,2024-08-01,5,459.9216424,295.3451942,436.4438477,860053.4712,0,693,Cleaning,Disinfectants,GermBuster,GermBuster Total Gel,Friday,March,Spring,0,0,4,3,1154.7142857142858,1173.0,1073.0,1,0,0.0,-29.67527050000001,-4.434920499999976,164.57644820000002,461.2964120572863,710187.3573178148
5,2024-08-01,6,340.1886363,232.3942905,340.5241374,425575.984,0,428,Snacks,Chips,NibbleNest,NibbleNest Fiery Bites,Friday,March,Spring,0,0,4,3,423.57142857142856,424.0,259.0,0,1,0.0,-23.28558480000004,6.271761900000001,107.79434579999996,325.7915832866383,618115.1626941741
6,2024-08-01,7,345.7606665,214.4642176,330.2329638,285598.3106,0,476,Personal Care,Shampoo,GlowMist,GlowMist Gentle Rinse,Friday,March,Spring,0,0,4,3,684.5714285714286,823.0,471.0,1,0,0.0,-39.34394850000001,6.306639000000018,131.2964489,354.5388046609361,217341.81127780685
7,2024-08-01,8,178.6483532,68.89078349,170.6477231,140953.5507,0,376,Cereals,Granola,MorningCrunch,MorningCrunch Multi-Grain Bites,Friday,March,Spring,0,0,4,3,430.57142857142856,387.0,639.0,1,0,0.0,-14.549152599999983,-10.495477099999988,109.75756971,177.2503228921031,194021.7115066528
8,2024-08-01,9,307.3233968,180.249385,334.1370693,559943.229,0,1020,Frozen,Frozen Pizza,FrostyDelight,FrostyDelight Cold Slice,Friday,March,Spring,0,0,4,3,921.7142857142856,628.0,1077.0,0,1,0.0,34.810260200000016,3.655911500000002,127.07401180000002,314.94693774183673,500424.7102944575
9,2024-08-01,10,14.69798534,9.795557006,14.49881999,12757.85127,0,338,Personal Care,Shampoo,EssencePure,EssencePure Revitalizing Cleanser,Friday,March,Spring,0,0,4,3,438.4285714285714,535.0,511.0,1,0,0.0,-2.332347400000001,-0.896747079999999,4.902428334000001,17.95380890314586,9255.711271708737
